request_rate,cpu_millicores,slo_ms,replicas,utilization,response_ms
11.388702367402715,600,350,1,0,2457.2358617315845
0.0,600,350,1,0,0.0
7.648527825272757,600,350,1,0,4261.363636363636
5.130867666371438,600,350,1,0,10000.0
13.897373243738546,600,350,1,0,2467.651757188499
6.998428496595078,600,350,1,0,6893.749999999999
1.8015817276863415,600,350,1,0,3156.250000000001
10.874545621162598,600,350,1,0,4521.505376344086
11.273371624098742,600,350,1,0,4516.203703703701
12.659983357768354,600,350,1,0,3224.9999999999986
12.235537059661983,600,350,1,0,2390.522388059701
0.0,600,350,1,0.631267699074074,0.0
0.0,600,350,1,1,0.0
0.0,600,350,1,1,0.0
0.0,600,350,1,1,0.0
0.0,600,350,1,1,0.0
