variant,system,forecaster,burst,performance,execution,monitoring,label,forecaster_policy_eligible,performance_policy_eligible,intervals,slo_violation_pct,slo_ci95_low_pct,slo_ci95_high_pct,mean_utilization_pct,utilization_ci95_low_pct,utilization_ci95_high_pct,resource_cost,cost_ci95_low,cost_ci95_high,rolling_overlap_cost,monitor_cycles,mean_monitor_interval_seconds,slo_after_stretched_interval_pct,quantile_p10_p90_coverage_pct,forecast_mae_scaled,tuning_validation_objective
reactive_hpa_fixed_cpu,reactive_hpa,bilstm,paper_fixed,dtr,rolling,fixed,,True,True,40,2.5,0.0,5.0,57.156279227956794,51.883350844801825,64.33612453994436,10.886999999999999,9.618749999999999,11.747699999999998,0.0,40,60.0,,,306.48611273478616,
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,bilstm,paper_fixed,dtr,rolling,fixed,,True,True,40,85.0,80.0,93.93749999999999,100.0,100.0,100.0,4.3116,4.2948,4.32,0.11759999999999998,40,60.0,,,306.48611273478616,
