variant,system,tick,actual_request_rate,scaled_demand,predicted_demand,p10,p50,p90,monitored,burst,next_interval_seconds,after_stretched_interval,replicas,cpu_millicores,utilization,response_ms,slo_violation,resource_cost,rolling_overlap_cost,execution_backend
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,0,686.0,997.4151857835218,758.5048644877934,758.5048644877934,758.5048644877934,758.5048644877934,True,False,60,False,1,600,1.5,687.5,True,0.036,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,1,810.0,1177.7059773828755,758.4829786589908,758.4829786589908,758.4829786589908,758.4829786589908,True,False,60,False,2,900,1.5,687.5,True,0.1152,0.0288,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,2,862.0,1253.3117932148627,761.3691315629767,761.3691315629767,761.3691315629767,761.3691315629767,True,True,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,3,722.0,1049.7576736672052,763.8259224736285,763.8259224736285,763.8259224736285,763.8259224736285,True,True,60,False,2,950,1.3154858066005077,489.76136232608826,True,0.1356,0.044399999999999995,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,4,622.0,904.3618739903069,761.4957214714923,761.4957214714923,761.4957214714923,761.4957214714923,True,False,60,False,2,950,1.1332855563788307,341.993529967978,False,0.114,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,5,553.0,804.0387722132472,758.2572711184657,758.2572711184657,758.2572711184657,758.2572711184657,True,False,60,False,2,900,1.063543349488422,296.53998071819814,False,0.1308,0.044399999999999995,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,6,730.0,1061.389337641357,755.1676226576383,755.1676226576383,755.1676226576383,755.1676226576383,True,False,60,False,2,900,1.4039541503192554,578.116904116671,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,7,746.0,1084.6526655896607,758.0148293236671,758.0148293236671,758.0148293236671,758.0148293236671,True,False,60,False,2,900,1.434725748134472,611.5929127788744,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,8,1057.0,1536.8336025848141,759.450638375878,759.450638375878,759.450638375878,759.450638375878,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,9,1060.0,1541.1954765751211,767.6898124440268,767.6898124440268,767.6898124440268,767.6898124440268,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,10,740.0,1075.9289176090467,771.1927242277852,771.1927242277852,771.1927242277852,771.1927242277852,True,False,60,False,2,900,1.4231863989537654,598.8691608689948,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,11,713.0,1036.6720516962844,765.1803266127463,765.1803266127463,765.1803266127463,765.1803266127463,True,False,60,False,2,900,1.3712593276405878,544.1210749190834,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,12,900.0,1308.562197092084,762.3640293938915,762.3640293938915,762.3640293938915,762.3640293938915,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,13,805.0,1170.4361873990306,765.6058332881294,765.6058332881294,765.6058332881294,765.6058332881294,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,14,836.0,1215.508885298869,764.4765596462858,764.4765596462858,764.4765596462858,764.4765596462858,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,15,657.0,955.2504038772213,764.8771949212642,764.8771949212642,764.8771949212642,764.8771949212642,True,False,60,False,2,900,1.2635587352873296,443.12722310105295,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,16,927.0,1347.8190630048464,760.6550698104038,760.6550698104038,760.6550698104038,760.6550698104038,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,17,891.0,1295.476575121163,765.4931676841443,765.4931676841443,765.4931676841443,765.4931676841443,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,18,733.0,1065.7512116316639,766.4193890052666,766.4193890052666,766.4193890052666,766.4193890052666,True,False,60,False,2,900,1.4097238249096082,584.2833436737351,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,19,659.0,958.1583198707592,763.0691595204953,763.0691595204953,763.0691595204953,763.0691595204953,True,False,60,False,2,900,1.2674051850142318,446.45355876216206,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,20,625.0,908.7237479806139,759.9677694839556,759.9677694839556,759.9677694839556,759.9677694839556,True,False,60,False,2,900,1.2020155396568968,392.6099175463004,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,21,817.0,1187.8836833602584,757.7639660425848,757.7639660425848,757.7639660425848,757.7639660425848,True,False,60,False,2,900,1.5,687.5,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,22,673.0,978.513731825525,761.3699845834344,761.3699845834344,761.3699845834344,761.3699845834344,True,False,60,False,2,900,1.2943303331025464,470.3083950601541,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,23,534.0,776.4135702746365,759.2058884080761,759.2058884080761,759.2058884080761,759.2058884080761,True,False,60,False,2,900,1.0270020770828525,274.97838595253336,False,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,24,637.0,926.1712439418417,755.0301525568138,755.0301525568138,755.0301525568138,755.0301525568138,True,False,60,False,2,900,1.2250942380183092,410.96418297496416,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,25,667.0,969.7899838449111,755.6892613934288,755.6892613934288,755.6892613934288,755.6892613934288,True,False,60,False,2,900,1.28279098392184,459.9620320298588,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,26,727.0,1057.02746365105,756.5398900486944,756.5398900486944,756.5398900486944,756.5398900486944,True,False,60,False,2,900,1.3981844757289021,572.0009399073683,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,27,727.0,1057.02746365105,758.3035767486072,758.3035767486072,758.3035767486072,758.3035767486072,True,False,60,False,2,900,1.3981844757289021,572.0009399073683,True,0.108,0.0,rolling
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,28,675.0,981.421647819063,759.0581151581937,759.0581151581937,759.0581151581937,759.0581151581937,True,False,60,False,2,900,1.2981767828294484,473.798464452085,True,0.108,0.0,rolling
