variant,system,forecaster,burst,performance,execution,monitoring,label,forecaster_policy_eligible,performance_policy_eligible,intervals,slo_violation_pct,slo_ci95_low_pct,slo_ci95_high_pct,mean_utilization_pct,utilization_ci95_low_pct,utilization_ci95_high_pct,resource_cost,cost_ci95_low,cost_ci95_high,rolling_overlap_cost,monitor_cycles,mean_monitor_interval_seconds,slo_after_stretched_interval_pct,quantile_p10_p90_coverage_pct,forecast_mae_scaled,tuning_validation_objective
reactive_hpa_fixed_cpu,reactive_hpa,bilstm,paper_fixed,dtr,rolling,fixed,,True,True,1440,0.06944444444444445,0.0,0.20833333333333334,50.55338947170412,49.77763547724312,51.51137898790924,190.60800000000003,186.10500000000002,195.33900000000006,0.0,1440,60.0,,,89.56011849708919,
proactive_hpa_bilstm_fixed_cpu,proactive_hpa,bilstm,paper_fixed,dtr,rolling,fixed,,True,True,1440,0.0,0.0,0.0,47.570146028484714,46.71856586831316,48.265179221144535,202.23600000000002,197.47507500000003,207.28192500000003,0.0,1440,60.0,,,89.56011849708919,
paper_hybrid_bilstm_dtr_rolling_fixed_monitor,hybrid,bilstm,paper_fixed,dtr,rolling,fixed,,True,True,1440,1.9444444444444444,1.1805555555555556,2.7777777777777777,77.02565510452008,75.96267607381583,78.04562054165031,127.40399999999998,124.83803999999998,129.93626999999998,11.28,1440,60.0,,,89.56011849708919,
novelty_1_tuned_adaptive_burst,hybrid,bilstm,tuned_adaptive,dtr,rolling,fixed,novelty_1_tuned_adaptive_burst,True,True,1440,1.9444444444444444,1.25,2.6753472222222205,76.95438769419496,75.93406992368081,78.05430725789456,127.61639999999998,124.72352999999998,130.10129999999995,11.404799999999998,1440,60.0,,,89.56011849708919,38.646
novelty_2_quantile_provisioning,hybrid,quantile_bilstm,paper_fixed,dtr,rolling,fixed,novelty_2_quantile_provisioning,True,True,1440,1.25,0.6944444444444444,1.875,74.23648328517342,73.25215428104649,75.27959361342228,132.68399999999997,130.53233999999998,134.99693999999997,11.807999999999998,1440,60.0,,35.90277777777778,105.42422375736447,
novelty_3_inplace_resize,hybrid,bilstm,paper_fixed,dtr,inplace,fixed,novelty_3_inplace_resize,True,True,1440,1.1805555555555556,0.6944444444444444,1.7031249999999984,77.09479600369619,76.13770852844746,78.06690619600954,121.80599999999998,119.41364999999998,124.04144999999997,0.0,1440,60.0,,,89.56011849708919,
novelty_4_adaptive_monitoring,hybrid,bilstm,paper_fixed,dtr,rolling,adaptive,novelty_4_adaptive_monitoring,True,True,1440,2.1527777777777777,1.3194444444444444,2.9531249999999987,77.03869685028795,75.9882634869156,78.16148504918647,125.34359999999998,122.97404999999998,127.67483999999999,7.1784,805,73.67329192546583,1.92090395480226,,93.08797599349039,
novelty_4_stacked_quantile_with_adaptive_cadence,hybrid,quantile_bilstm,paper_fixed,dtr,rolling,adaptive,novelty_4_stacked_quantile_with_adaptive_cadence,True,True,1440,1.25,0.6944444444444444,1.875,74.15238236187547,73.07453742069619,75.25268751476183,132.2928,130.45049999999998,134.55342,10.7136,1302,22.850230414746544,0.9345794392523363,36.388888888888886,107.63033396173265,
